Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,day,week,month,year
2014-07-15,42.45,42.33,42.47,42.03,28.76,0.74,15,29,7,2014
2014-07-16,44.08,42.51,44.31,42.48,63.32,3.84,16,29,7,2014
2014-07-17,44.53,45.45,45.71,44.25,82.18,1.02,17,29,7,2014
2014-07-18,44.69,44.65,44.84,44.25,43.41,0.36,18,29,7,2014
2014-07-21,44.84,44.56,45.16,44.22,37.6,0.34,21,30,7,2014
2014-07-22,44.83,45.0,45.15,44.59,43.1,-0.02,22,30,7,2014
2014-07-23,44.87,45.45,45.45,44.62,52.36,0.09,23,30,7,2014
2014-07-24,44.4,44.93,45.0,44.32,30.73,-1.05,24,30,7,2014
2014-07-25,44.5,44.3,44.66,44.3,26.74,0.23,25,30,7,2014
2014-07-28,43.97,44.36,44.51,43.93,29.69,-1.19,28,31,7,2014
2014-07-29,43.88,43.91,44.09,43.64,27.76,-0.2,29,31,7,2014
2014-07-30,43.58,44.07,44.1,43.29,31.93,-0.68,30,31,7,2014
2014-07-31,43.16,43.38,43.69,43.08,31.54,-0.96,31,31,7,2014
2014-08-01,42.86,43.21,43.25,42.6,31.17,-0.7,1,31,8,2014
2014-08-04,43.37,42.97,43.47,42.81,34.28,1.19,4,32,8,2014
2014-08-05,43.08,43.31,43.46,42.83,26.27,-0.67,5,32,8,2014
2014-08-06,42.74,42.74,43.17,42.21,24.63,-0.79,6,32,8,2014
2014-08-07,43.23,42.84,43.45,42.65,30.32,1.15,7,32,8,2014
2014-08-08,43.2,43.23,43.31,42.91,28.94,-0.07,8,32,8,2014
2014-08-11,43.2,43.26,43.45,43.02,20.35,0.0,11,33,8,2014
2014-08-12,43.52,43.04,43.59,43.0,21.43,0.74,12,33,8,2014
2014-08-13,44.08,43.68,44.18,43.52,22.89,1.29,13,33,8,2014
2014-08-14,44.27,44.08,44.42,44.01,19.31,0.43,14,33,8,2014
2014-08-15,44.79,44.58,44.9,44.4,41.61,1.17,15,33,8,2014
2014-08-18,45.11,44.94,45.11,44.68,26.9,0.71,18,34,8,2014
2014-08-19,45.33,44.97,45.34,44.83,28.14,0.49,19,34,8,2014
2014-08-20,44.95,45.34,45.4,44.9,24.77,-0.84,20,34,8,2014
2014-08-21,45.22,44.84,45.25,44.83,22.29,0.6,21,34,8,2014
2014-08-22,45.15,45.35,45.47,45.07,18.29,-0.15,22,34,8,2014
2014-08-25,45.17,45.4,45.44,45.04,16.91,0.04,25,35,8,2014
2014-08-26,45.01,45.31,45.4,44.94,14.88,-0.35,26,35,8,2014
2014-08-27,44.87,44.9,45.0,44.76,21.29,-0.31,27,35,8,2014
2014-08-28,44.88,44.75,44.98,44.61,17.66,0.02,28,35,8,2014
2014-08-29,45.43,45.09,45.44,44.85,21.61,1.23,29,35,8,2014
2014-09-02,45.09,45.43,45.46,44.85,22.98,-0.75,2,36,9,2014
2014-09-03,44.96,44.53,45.11,44.53,33.69,-0.29,3,36,9,2014
2014-09-04,45.26,44.74,45.27,44.72,26.48,0.67,4,36,9,2014
2014-09-05,45.91,45.11,45.93,45.11,36.94,1.44,5,36,9,2014
2014-09-08,46.47,46.02,46.8,45.99,45.74,1.22,8,37,9,2014
2014-09-09,46.76,46.47,46.97,46.42,40.3,0.62,9,37,9,2014
2014-09-10,46.84,46.82,46.94,46.28,27.3,0.17,10,37,9,2014
2014-09-11,47.0,46.74,47.0,46.47,29.22,0.34,11,37,9,2014
2014-09-12,46.7,46.91,47.02,46.6,38.25,-0.64,12,37,9,2014
2014-09-15,46.24,46.54,46.71,46.1,37.67,-0.99,15,38,9,2014
2014-09-16,46.76,46.39,46.85,46.29,27.91,1.12,16,38,9,2014
2014-09-17,46.52,46.26,46.69,46.23,38.31,-0.51,17,38,9,2014
2014-09-18,46.68,46.59,46.83,46.46,35.56,0.34,18,38,9,2014
2014-09-19,47.52,46.81,47.57,46.6,202.53,1.8,19,38,9,2014
2014-09-22,47.06,47.3,47.38,46.98,38.69,-0.97,22,39,9,2014
2014-09-23,46.56,46.85,46.98,46.47,33.43,-1.06,23,39,9,2014
2014-09-24,47.08,46.63,47.11,46.34,26.58,1.12,24,39,9,2014
2014-09-25,46.04,46.88,47.09,46.03,33.08,-2.21,25,39,9,2014
2014-09-26,46.41,45.93,46.62,45.76,27.08,0.8,26,39,9,2014
2014-09-29,46.44,45.98,46.56,45.76,26.09,0.06,29,40,9,2014
2014-09-30,46.36,46.37,46.48,46.01,33.03,-0.17,30,40,9,2014
2014-10-01,45.9,46.27,46.53,45.84,38.09,-0.99,1,40,10,2014
2014-10-02,45.76,45.83,46.1,45.64,25.12,-0.31,2,40,10,2014
2014-10-03,46.09,45.98,46.3,45.61,32.45,0.72,3,40,10,2014
2014-10-06,46.09,46.12,46.3,45.92,20.6,0.0,6,41,10,2014
2014-10-07,45.53,45.86,45.93,45.42,25.72,-1.22,7,41,10,2014
2014-10-08,46.78,45.48,46.89,45.34,33.03,2.75,8,41,10,2014
2014-10-09,45.85,46.5,46.8,45.74,34.43,-1.99,9,41,10,2014
2014-10-10,44.03,45.6,46.12,43.95,51.98,-3.97,10,41,10,2014
2014-10-13,43.65,43.82,44.56,43.49,37.1,-0.86,13,42,10,2014
2014-10-14,43.73,43.87,44.38,43.56,38.12,0.18,14,42,10,2014
2014-10-15,43.22,43.0,43.39,42.1,60.22,-1.17,15,42,10,2014
2014-10-16,42.74,42.53,43.08,42.22,49.04,-1.11,16,42,10,2014
2014-10-17,43.63,43.2,43.94,42.79,40.68,2.08,17,42,10,2014
2014-10-20,44.08,43.06,44.14,42.81,34.53,1.03,20,43,10,2014
2014-10-21,44.88,44.36,44.98,44.19,36.43,1.81,21,43,10,2014
2014-10-22,44.38,45.0,45.07,44.23,33.58,-1.11,22,43,10,2014
2014-10-23,45.02,44.62,45.45,44.53,45.45,1.44,23,43,10,2014
2014-10-24,46.13,46.83,46.9,45.18,61.08,2.47,24,43,10,2014
2014-10-27,45.91,45.71,46.1,45.71,30.37,-0.48,27,44,10,2014
2014-10-28,46.49,45.86,46.5,45.77,29.05,1.26,28,44,10,2014
2014-10-29,46.62,46.44,46.7,46.34,30.28,0.28,29,44,10,2014
2014-10-30,46.05,46.32,46.32,45.77,30.07,-1.22,30,44,10,2014
2014-10-31,46.95,46.94,46.97,46.48,35.85,1.95,31,44,10,2014
2014-11-03,47.44,46.89,47.46,46.73,23.13,1.04,3,45,11,2014
2014-11-04,47.57,47.3,47.73,47.25,21.53,0.27,4,45,11,2014
2014-11-05,47.86,47.8,47.9,47.26,22.45,0.61,5,45,11,2014
2014-11-06,48.7,47.86,48.86,47.79,33.04,1.76,6,45,11,2014
2014-11-07,48.68,48.92,48.92,48.29,28.0,-0.04,7,45,11,2014
2014-11-10,48.89,48.65,49.15,48.55,36.37,0.43,10,46,11,2014
2014-11-11,48.87,48.85,48.95,48.65,23.45,-0.04,11,46,11,2014
2014-11-12,48.78,48.56,48.92,48.52,22.72,-0.18,12,46,11,2014
2014-11-13,49.61,48.81,49.65,48.7,26.21,1.7,13,46,11,2014
2014-11-14,49.58,49.74,50.05,49.39,29.08,-0.06,14,46,11,2014
2014-11-17,49.46,49.41,49.7,49.14,30.32,-0.24,17,47,11,2014
2014-11-18,48.74,49.13,49.33,48.7,24.0,-1.46,18,47,11,2014
2014-11-19,48.22,48.66,48.75,47.93,26.18,-1.07,19,47,11,2014
2014-11-20,48.7,48.0,48.7,47.87,21.51,1.0,20,47,11,2014
2014-11-21,47.98,49.02,49.05,47.57,42.88,-1.48,21,47,11,2014
2014-11-24,47.59,47.99,48.0,47.39,35.43,-0.81,24,48,11,2014
2014-11-25,47.47,47.66,47.97,47.45,28.01,-0.25,25,48,11,2014
2014-11-26,47.75,47.49,47.99,47.28,27.16,0.59,26,48,11,2014
2014-11-28,47.81,47.95,48.2,47.61,21.53,0.13,28,48,11,2014
2014-12-01,48.62,47.88,48.78,47.71,31.19,1.69,1,49,12,2014
2014-12-02,48.46,48.84,49.05,48.2,25.77,-0.33,2,49,12,2014
2014-12-03,48.08,48.44,48.5,47.8,23.53,-0.78,3,49,12,2014
2014-12-04,48.84,48.39,49.06,48.2,30.35,1.58,4,49,12,2014
2014-12-05,48.42,48.82,48.97,48.38,27.31,-0.86,5,49,12,2014
2014-12-08,47.7,48.26,48.35,47.45,26.66,-1.49,8,50,12,2014
2014-12-09,47.59,47.11,47.92,47.05,24.33,-0.23,9,50,12,2014
2014-12-10,46.9,47.58,47.66,46.7,30.43,-1.45,10,50,12,2014
2014-12-11,47.17,47.08,47.74,46.68,29.06,0.58,11,50,12,2014
2014-12-12,46.95,46.78,47.73,46.67,34.25,-0.47,12,50,12,2014
2014-12-15,46.67,47.2,47.67,46.55,29.25,-0.6,15,51,12,2014
2014-12-16,45.16,45.9,46.34,45.13,47.8,-3.24,16,51,12,2014
2014-12-17,45.74,45.05,45.95,44.9,34.97,1.28,17,51,12,2014
2014-12-18,47.52,46.58,47.52,46.34,40.11,3.89,18,51,12,2014
2014-12-19,47.66,47.63,48.1,47.17,64.55,0.29,19,51,12,2014
2014-12-22,47.98,47.78,48.12,47.71,26.57,0.67,22,52,12,2014
2014-12-23,48.45,48.37,48.8,48.13,23.66,0.98,23,52,12,2014
2014-12-24,48.14,48.64,48.64,48.08,11.44,-0.64,24,52,12,2014
2014-12-26,47.88,48.41,48.41,47.82,13.2,-0.54,26,52,12,2014
2014-12-29,47.45,47.7,47.78,47.26,14.44,-0.9,29,1,12,2014
2014-12-30,47.02,47.44,47.62,46.84,16.38,-0.91,30,1,12,2014
2014-12-31,46.45,46.73,47.44,46.45,21.55,-1.21,31,1,12,2014
2015-01-02,46.76,46.66,47.42,46.54,27.91,0.67,2,1,1,2015
2015-01-05,46.33,46.37,46.73,46.25,39.67,-0.92,5,2,1,2015
2015-01-06,45.65,46.38,46.75,45.54,36.45,-1.47,6,2,1,2015
2015-01-07,46.23,45.98,46.46,45.49,29.11,1.27,7,2,1,2015
2015-01-08,47.59,46.75,47.75,46.72,29.65,2.94,8,2,1,2015
2015-01-09,47.19,47.61,47.82,46.9,23.94,-0.84,9,2,1,2015
2015-01-12,46.6,47.42,47.54,46.36,23.65,-1.25,12,3,1,2015
2015-01-13,46.35,46.97,47.91,46.06,35.27,-0.54,13,3,1,2015
2015-01-14,45.95,45.96,46.24,45.62,29.72,-0.86,14,3,1,2015
2015-01-15,45.48,46.22,46.38,45.41,32.75,-1.02,15,3,1,2015
2015-01-16,46.24,45.31,46.28,45.17,35.7,1.67,16,3,1,2015
2015-01-20,46.39,46.3,46.65,45.57,36.16,0.32,20,4,1,2015
2015-01-21,45.92,45.94,46.14,45.48,39.08,-1.01,21,4,1,2015
2015-01-22,47.13,46.38,47.13,46.08,35.9,2.64,22,4,1,2015
2015-01-23,47.18,47.36,47.39,46.8,26.21,0.11,23,4,1,2015
2015-01-26,47.01,47.0,47.13,46.24,42.53,-0.36,26,5,1,2015
2015-01-27,42.66,42.95,43.2,42.1,169.16,-9.25,27,5,1,2015
2015-01-28,41.19,42.74,42.79,41.16,84.51,-3.45,28,5,1,2015
2015-01-29,42.01,40.93,42.12,40.79,63.59,1.99,29,5,1,2015
2015-01-30,40.4,41.55,41.58,40.35,78.0,-3.83,30,5,1,2015
2015-02-02,41.28,40.59,41.37,40.23,50.35,2.18,2,6,2,2015
2015-02-03,41.6,41.63,41.93,41.05,52.08,0.78,3,6,2,2015
2015-02-04,41.84,41.94,42.21,41.36,41.61,0.58,4,6,2,2015
2015-02-05,42.45,42.22,42.64,41.85,36.55,1.46,5,6,2,2015
2015-02-06,42.41,42.68,42.79,42.15,34.62,-0.09,6,6,2,2015
2015-02-09,42.36,42.24,42.74,42.21,31.38,-0.12,9,7,2,2015
2015-02-10,42.6,42.74,42.77,42.18,29.67,0.57,10,7,2,2015
2015-02-11,42.38,42.65,42.65,42.21,38.26,-0.52,11,7,2,2015
2015-02-12,43.09,42.66,43.09,42.51,33.27,1.68,12,7,2,2015
2015-02-13,43.87,43.38,43.87,43.15,40.26,1.81,13,7,2,2015
2015-02-17,43.58,43.97,44.0,43.19,33.7,-0.66,17,8,2,2015
2015-02-18,43.53,43.63,43.7,43.39,27.11,-0.11,18,8,2,2015
2015-02-19,43.5,43.18,43.53,43.05,27.6,-0.07,19,8,2,2015
2015-02-20,43.85,43.51,43.88,43.29,29.72,0.8,20,8,2,2015
2015-02-23,44.15,43.7,44.19,43.65,32.52,0.68,23,9,2,2015
2015-02-24,44.09,44.15,44.3,43.92,25.27,-0.14,24,9,2,2015
2015-02-25,43.99,43.95,44.09,43.8,29.76,-0.23,25,9,2,2015
2015-02-26,44.05,43.99,44.23,43.89,28.96,0.14,26,9,2,2015
2015-02-27,43.85,44.13,44.2,43.66,33.81,-0.45,27,9,2,2015
2015-03-02,43.88,43.67,44.19,43.55,31.92,0.07,2,10,3,2015
2015-03-03,43.28,43.56,43.83,43.09,31.75,-1.37,3,10,3,2015
2015-03-04,43.05,43.01,43.21,42.88,25.75,-0.53,4,10,3,2015
2015-03-05,43.11,43.07,43.24,42.82,23.19,0.14,5,10,3,2015
2015-03-06,42.36,43.0,43.11,42.15,36.25,-1.74,6,10,3,2015
2015-03-09,42.85,42.19,43.12,42.19,32.11,1.16,9,11,3,2015
2015-03-10,42.03,42.35,42.71,42.03,39.16,-1.91,10,11,3,2015
2015-03-11,41.98,42.31,42.37,41.84,32.22,-0.12,11,11,3,2015
2015-03-12,41.02,41.33,41.65,40.86,59.99,-2.29,12,11,3,2015
2015-03-13,41.38,40.7,41.47,40.61,58.01,0.88,13,11,3,2015
2015-03-16,41.56,41.47,41.64,41.28,35.27,0.43,16,12,3,2015
2015-03-17,41.7,41.37,41.83,41.15,31.67,0.34,17,12,3,2015
2015-03-18,42.5,41.43,42.83,41.33,44.19,1.92,18,12,3,2015
2015-03-19,42.28,42.26,42.59,42.22,33.88,-0.52,19,12,3,2015
2015-03-20,42.88,42.56,42.98,42.49,71.9,1.42,20,12,3,2015
2015-03-23,42.85,42.88,43.13,42.78,26.25,-0.07,23,13,3,2015
2015-03-24,42.9,42.78,43.17,42.75,25.51,0.12,24,13,3,2015
2015-03-25,41.46,42.92,42.92,41.44,43.47,-3.36,25,13,3,2015
2015-03-26,41.21,41.22,41.61,40.92,37.5,-0.6,26,13,3,2015
2015-03-27,40.97,41.12,41.43,40.83,34.4,-0.58,27,13,3,2015
2015-03-30,40.96,41.1,41.54,40.91,35.05,-0.02,30,14,3,2015
2015-03-31,40.66,40.78,41.03,40.54,34.89,-0.73,31,14,3,2015
2015-04-01,40.72,40.6,40.76,40.31,36.87,0.15,1,14,4,2015
2015-04-02,40.29,40.66,40.74,40.12,37.49,-1.06,2,14,4,2015
2015-04-06,41.55,40.34,41.78,40.18,39.22,3.13,6,15,4,2015
2015-04-07,41.53,41.61,41.91,41.31,28.81,-0.05,7,15,4,2015
2015-04-08,41.42,41.46,41.69,41.04,24.75,-0.26,8,15,4,2015
2015-04-09,41.48,41.25,41.62,41.25,25.72,0.14,9,15,4,2015
2015-04-10,41.72,41.63,41.95,41.41,28.02,0.58,10,15,4,2015
2015-04-13,41.76,41.4,42.06,41.39,30.28,0.1,13,16,4,2015
2015-04-14,41.65,41.8,42.03,41.39,24.24,-0.26,14,16,4,2015
2015-04-15,42.26,41.76,42.46,41.68,27.34,1.46,15,16,4,2015
2015-04-16,42.16,41.95,42.34,41.82,22.51,-0.24,16,16,4,2015
2015-04-17,41.62,41.67,41.74,41.16,42.39,-1.28,17,16,4,2015
2015-04-20,42.91,41.73,43.17,41.68,46.06,3.1,20,17,4,2015
2015-04-21,42.63,43.0,43.15,42.53,26.01,-0.65,21,17,4,2015
2015-04-22,42.98,42.67,43.13,42.55,25.06,0.82,22,17,4,2015
2015-04-23,43.34,42.89,43.61,42.8,46.31,0.84,23,17,4,2015
2015-04-24,47.87,45.66,48.14,45.65,130.93,10.45,24,17,4,2015
2015-04-27,48.03,47.23,48.13,47.22,59.25,0.33,27,18,4,2015
2015-04-28,49.16,47.78,49.21,47.7,60.73,2.35,28,18,4,2015
2015-04-29,49.06,48.72,49.31,48.5,47.8,-0.2,29,18,4,2015
2015-04-30,48.64,48.7,49.54,48.6,64.73,-0.86,30,18,4,2015
2015-05-01,48.66,48.58,48.88,48.4,38.94,0.04,1,18,5,2015
2015-05-04,48.24,48.37,48.87,48.18,34.04,-0.86,4,19,5,2015
2015-05-05,47.6,47.82,48.16,47.31,50.37,-1.33,5,19,5,2015
2015-05-06,46.28,47.57,47.77,46.02,52.43,-2.77,6,19,5,2015
2015-05-07,46.7,46.27,47.09,46.16,32.97,0.91,7,19,5,2015
2015-05-08,47.75,47.55,47.98,47.52,35.36,2.25,8,19,5,2015
2015-05-11,47.37,47.55,47.91,47.37,24.61,-0.8,11,20,5,2015
